,Unnamed: 0,datetime,lng,lat,uid,leaving_datetime,poi_category
0,0,2024-05-07 10:39:47,-8.4018503,40.190361800000005,146,2024-05-07 10:58:50,No POI within 10 meters
1,1,2024-05-07 11:05:39,-8.4093728,40.1986718,146,2024-05-07 16:49:52,No POI within 10 meters
2,2,2024-05-07 16:49:52,-8.4164625,40.1862962,146,2024-05-07 18:28:10,No POI within 10 meters
3,3,2024-05-07 18:29:49,-8.4290886,40.1972934,146,2024-05-07 19:13:21,Bookstore
4,4,2024-05-07 19:13:21,-8.425924,40.2023608,146,2024-05-07 19:37:31,No POI within 10 meters
5,5,2024-05-07 19:37:31,-8.4321948,40.2049444,146,2024-05-07 21:34:39,Museum
6,6,2024-05-07 21:34:39,-8.4307796,40.2009213,146,2024-05-07 22:00:13,No POI within 10 meters
7,7,2024-05-07 22:00:13,-8.4093638,40.19867425,146,2024-05-08 14:00:22,No POI within 10 meters
8,8,2024-05-08 14:00:22,-8.4149952,40.18631395,146,2024-05-08 19:45:45,No POI within 10 meters
9,9,2024-05-08 19:45:45,-8.408615,40.1941998,146,2024-05-08 20:17:25,Grocery Store
10,10,2024-05-14 10:46:40,-8.4057733,40.1972283,217,2024-05-14 19:06:40,No POI within 10 meters
11,11,2024-05-14 19:06:40,-8.41292485,40.1926295,217,2024-05-14 21:53:20,No POI within 10 meters
12,12,2024-05-14 21:53:20,-8.405745,40.1971383,217,2024-05-15 11:46:40,No POI within 10 meters
13,13,2024-05-27 10:12:12,-8.4057792,40.19721,222,2024-05-27 19:58:36,No POI within 10 meters
14,14,2024-05-27 20:02:08,-8.4251467,40.2079333,222,2024-05-27 21:46:25,Health and Medicine
15,15,2024-05-27 21:48:57,-8.4057317,40.196925,222,2024-05-27 22:14:00,No POI within 10 meters
16,16,2024-05-05 09:57:48,-8.4106719,40.1973984,257,2024-05-05 10:10:44,No POI within 10 meters
17,17,2024-05-05 10:10:44,-8.4085998,40.1942728,257,2024-05-05 12:40:51,Grocery Store
18,18,2024-05-05 12:40:51,-8.4085945,40.1942571,257,2024-05-05 18:19:59,Grocery Store
19,19,2024-05-05 18:27:00,-8.4103375,40.2006517,257,2024-05-06 13:32:53,No POI within 10 meters
